id,equipment_id,order_number,type,priority,status,scheduled_date,start_date,completion_date,description,cost,technician_team,created_at,updated_at
ORD-001,TR-001,OM-2024-001,preventiva,alta,concluída,2024-01-15,2024-01-15 08:00:00,2024-01-15 17:30:00,Inspeção termográfica e análise de óleo isolante,15500.00,Equipe A,2024-01-01 09:00:00,2024-01-15 18:00:00
ORD-002,DJ-001,OM-2024-002,preventiva,alta,concluída,2024-01-20,2024-01-20 09:00:00,2024-01-20 16:00:00,Manutenção preventiva do sistema SF6 e atuadores,22300.00,Equipe B,2024-01-05 10:00:00,2024-01-20 16:30:00
ORD-003,TR-002,OM-2024-003,corretiva,média,concluída,2024-02-05,2024-02-05 08:30:00,2024-02-06 14:00:00,Troca de buchas danificadas por sobretensão,45600.00,Equipe A,2024-02-03 14:20:00,2024-02-06 14:30:00
ORD-004,SC-001,OM-2024-004,preventiva,baixa,concluída,2024-02-18,2024-02-18 10:00:00,2024-02-18 15:00:00,Lubrificação de contatos e inspeção visual,3200.00,Equipe C,2024-02-10 11:00:00,2024-02-18 15:30:00
ORD-005,TR-003,OM-2024-005,preventiva,alta,concluída,2024-03-10,2024-03-10 08:00:00,2024-03-11 12:00:00,Análise cromatográfica de gases e teste de isolação,18700.00,Equipe A,2024-03-01 09:00:00,2024-03-11 12:30:00
ORD-006,DJ-002,OM-2024-006,corretiva,alta,concluída,2024-03-22,2024-03-22 07:00:00,2024-03-22 19:00:00,Substituição de câmara de extinção defeituosa,38900.00,Equipe B,2024-03-21 16:30:00,2024-03-22 19:30:00
ORD-007,PR-001,OM-2024-007,preventiva,baixa,concluída,2024-04-05,2024-04-05 09:00:00,2024-04-05 11:30:00,Inspeção visual e teste de corrente de fuga,1800.00,Equipe C,2024-03-28 10:00:00,2024-04-05 12:00:00
ORD-008,TR-004,OM-2024-008,preventiva,alta,concluída,2024-04-20,2024-04-20 08:00:00,2024-04-21 16:00:00,Manutenção geral com troca de óleo isolante,28400.00,Equipe A,2024-04-10 09:00:00,2024-04-21 16:30:00
ORD-009,DJ-003,OM-2024-009,preventiva,alta,concluída,2024-05-08,2024-05-08 08:30:00,2024-05-08 17:00:00,Calibração de relés de proteção e teste funcional,16200.00,Equipe B,2024-05-01 10:00:00,2024-05-08 17:30:00
ORD-010,SC-002,OM-2024-010,preventiva,média,concluída,2024-05-25,2024-05-25 09:00:00,2024-05-25 14:00:00,Manutenção de mecanismo de acionamento manual,4500.00,Equipe C,2024-05-18 11:00:00,2024-05-25 14:30:00
ORD-011,TR-005,OM-2024-011,corretiva,alta,concluída,2024-06-12,2024-06-12 06:00:00,2024-06-13 20:00:00,Reparo de vazamento de óleo no tanque principal,52300.00,Equipe A,2024-06-11 15:00:00,2024-06-13 20:30:00
ORD-012,DJ-004,OM-2024-012,preventiva,alta,concluída,2024-06-28,2024-06-28 08:00:00,2024-06-28 16:30:00,Inspeção termográfica e análise de contatos,19800.00,Equipe B,2024-06-20 09:00:00,2024-06-28 17:00:00
ORD-013,PR-002,OM-2024-013,preventiva,baixa,concluída,2024-07-15,2024-07-15 10:00:00,2024-07-15 12:00:00,Limpeza e inspeção de isoladores,2100.00,Equipe C,2024-07-08 10:00:00,2024-07-15 12:30:00
ORD-014,TR-006,OM-2024-014,preditiva,média,concluída,2024-07-30,2024-07-30 08:00:00,2024-07-30 15:00:00,Monitoramento de descargas parciais,12600.00,Equipe A,2024-07-22 09:00:00,2024-07-30 15:30:00
ORD-015,DJ-005,OM-2024-015,preventiva,alta,concluída,2024-08-18,2024-08-18 08:30:00,2024-08-18 17:30:00,Manutenção do sistema de comando e proteção,21400.00,Equipe B,2024-08-10 10:00:00,2024-08-18 18:00:00
ORD-016,SC-003,OM-2024-016,corretiva,média,concluída,2024-09-05,2024-09-05 09:00:00,2024-09-05 16:00:00,Substituição de isoladores danificados por vandalismo,8700.00,Equipe C,2024-09-04 14:00:00,2024-09-05 16:30:00
ORD-017,TR-007,OM-2024-017,preventiva,baixa,concluída,2024-09-22,2024-09-22 08:00:00,2024-09-22 14:00:00,Inspeção visual e teste de relação de transformação,7800.00,Equipe A,2024-09-15 09:00:00,2024-09-22 14:30:00
ORD-018,DJ-006,OM-2024-018,preventiva,alta,concluída,2024-10-10,2024-10-10 08:00:00,2024-10-10 18:00:00,Substituição preventiva de buchas de passagem,33200.00,Equipe B,2024-10-01 10:00:00,2024-10-10 18:30:00
ORD-019,PR-003,OM-2024-019,preventiva,baixa,concluída,2024-10-28,2024-10-28 09:00:00,2024-10-28 11:00:00,Medição de resistência de aterramento,1500.00,Equipe C,2024-10-20 10:00:00,2024-10-28 11:30:00
ORD-020,TR-008,OM-2024-020,corretiva,alta,em andamento,2024-11-15,2024-11-15 07:00:00,,Reparo de sistema de refrigeração forçada,67800.00,Equipe A,2024-11-14 16:00:00,2024-12-10 14:30:00
ORD-021,DJ-007,OM-2024-021,preventiva,alta,aberta,2024-12-20,,,Calibração anual de sistema de proteção,18500.00,Equipe B,2024-12-01 09:00:00,2024-12-10 14:30:00
ORD-022,SC-004,OM-2024-022,preventiva,média,aberta,2025-01-15,,,Manutenção preventiva anual,5200.00,Equipe C,2024-12-05 10:00:00,2024-12-10 14:30:00
ORD-023,TR-009,OM-2024-023,preditiva,baixa,aberta,2025-01-30,,,Análise de vibração e ruído,9800.00,Equipe A,2024-12-08 11:00:00,2024-12-10 14:30:00
ORD-024,DJ-008,OM-2024-024,preventiva,média,aberta,2025-02-12,,,Inspeção termográfica programada,8900.00,Equipe B,2024-12-10 09:00:00,2024-12-10 14:30:00
ORD-025,TR-001,OM-2024-025,preventiva,alta,aberta,2025-02-28,,,Manutenção semestral programada,16700.00,Equipe A,2024-12-10 10:00:00,2024-12-10 14:30:00 