id,tipo,nome,fabricante,modelo,numero_serie,data_instalacao,data_fabricacao,tensao_nominal,potencia_nominal,corrente_nominal,subestacao,bay,status,latitude,longitude,observacoes
TR-0001,TRANSFORMADOR,Transformador Principal SE-01,ABB,PTR-500-2020,ABB2020001,2020-03-15,2020-01-10,500,100,115.47,SE-CENTRO,BAY-01,OPERACIONAL,-23.5505,-46.6333,Transformador de potência principal da subestação centro
TR-0002,TRANSFORMADOR,Transformador Reserva SE-01,Siemens,STR-500-2019,SIE2019045,2019-08-20,2019-06-01,500,100,115.47,SE-CENTRO,BAY-02,RESERVA,-23.5505,-46.6333,Transformador reserva para contingências
DJ-0001,DISJUNTOR,Disjuntor 500kV Bay 01,GE,GCB-550,GE2021A001,2021-01-15,2020-11-20,550,0,2000,SE-CENTRO,BAY-01,OPERACIONAL,-23.5507,-46.6335,Disjuntor principal do bay 01
DJ-0002,DISJUNTOR,Disjuntor 500kV Bay 02,ABB,LTB-550E2,ABB2020D002,2020-05-10,2020-03-01,550,0,2000,SE-CENTRO,BAY-02,OPERACIONAL,-23.5507,-46.6336,Disjuntor principal do bay 02
CH-0001,CHAVE,Chave Seccionadora 500kV,Alstom,S3AF-550,ALS2021001,2021-02-20,2021-01-05,550,0,2000,SE-CENTRO,BAY-01,OPERACIONAL,-23.5508,-46.6334,Chave seccionadora tripolar
CH-0002,CHAVE,Chave de Terra Bay 01,ABB,ES1-550,ABB2021E001,2021-02-20,2021-01-10,550,0,1250,SE-CENTRO,BAY-01,OPERACIONAL,-23.5509,-46.6334,Chave de aterramento rápido
PR-0001,PARA-RAIOS,Para-raios 500kV Linha 01,Toshiba,PEXLIM-Q420,TSH2020001,2020-07-15,2020-05-01,420,0,20,SE-CENTRO,BAY-01,OPERACIONAL,-23.5510,-46.6333,Para-raios de óxido de zinco
PR-0002,PARA-RAIOS,Para-raios 500kV Linha 02,ABB,PEXLIM-R420,ABB2020P001,2020-07-15,2020-05-10,420,0,20,SE-CENTRO,BAY-02,OPERACIONAL,-23.5510,-46.6335,Para-raios de óxido de zinco
CP-0001,CAPACITOR,Banco Capacitor 138kV,WEG,BCP-138-50,WEG2019001,2019-11-10,2019-09-01,138,50,209.18,SE-CENTRO,BC-01,OPERACIONAL,-23.5512,-46.6332,Banco de capacitores para compensação reativa
RT-0001,REATOR,Reator Limitador 500kV,Siemens,RLS-500-100,SIE2021R001,2021-03-25,2021-01-15,500,100,115.47,SE-CENTRO,BAY-03,OPERACIONAL,-23.5515,-46.6330,Reator limitador de corrente de curto-circuito
RG-0001,REGULADOR,Regulador de Tensão 138kV,Toshiba,RVT-138-32,TSH2020R001,2020-09-05,2020-07-01,138,0,418.37,SE-CENTRO,BAY-04,OPERACIONAL,-23.5518,-46.6328,Regulador de tensão sob carga 32 taps
MD-0001,MEDIDOR,Medidor Multifunção Bay 01,Schneider,PM8000,SCH2021001,2021-04-10,2021-03-01,0,0,0,SE-CENTRO,BAY-01,OPERACIONAL,-23.5505,-46.6333,Medidor de grandezas elétricas e qualidade de energia
TR-0003,TRANSFORMADOR,Transformador Distribuição 01,WEG,DTR-138-25,WEG2018T001,2018-06-15,2018-04-01,138,25,104.59,SE-NORTE,BAY-01,OPERACIONAL,-23.4505,-46.5333,Transformador de distribuição 138/13.8kV
DJ-0003,DISJUNTOR,Disjuntor 138kV Bay 01,Siemens,3AP1-FG,SIE2019D001,2019-03-20,2019-01-10,145,0,3150,SE-NORTE,BAY-01,OPERACIONAL,-23.4507,-46.5335,Disjuntor a gás SF6
CH-0003,CHAVE,Chave Seccionadora 138kV,GE,FK3-2,GE2019S001,2019-03-22,2019-02-01,145,0,2000,SE-NORTE,BAY-01,OPERACIONAL,-23.4508,-46.5334,Chave seccionadora com lâmina de terra